brand,view_cnt,cart_cnt,norm_view,norm_cart,brand_score
barbie,6,2,0.0000,0.0000,0.0000
australis,93,0,0.0003,0.0000,0.0000
voesh,7,0,0.0000,0.0000,0.0000
skinity,28,3,0.0001,0.0000,0.0000
blise,32,0,0.0001,0.0000,0.0000
invisibobble,5,0,0.0000,0.0000,0.0000
embryolisse,27,0,0.0001,0.0000,0.0000
uralsoap,24,0,0.0001,0.0000,0.0000
lunaris,21,0,0.0001,0.0000,0.0000
helloganic,13,14,0.0000,0.0001,0.0000
cuccio,21,0,0.0001,0.0000,0.0000
laiseven,66,0,0.0002,0.0000,0.0000
ikoo,11,0,0.0000,0.0000,0.0000
macadamia,20,0,0.0001,0.0000,0.0000
shifei,5,0,0.0000,0.0000,0.0000
dessata,2,0,0.0000,0.0000,0.0000
nova,1,0,0.0000,0.0000,0.0000
vl-gel,4,0,0.0000,0.0000,0.0000
footlogix,8,0,0.0000,0.0000,0.0000
gena,1,0,0.0000,0.0000,0.0000
dancoly,72,8,0.0002,0.0000,0.0000
