user_group,session_hour,session_day,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
no_cart,03,Thursday,112,40.18,7.76,5.83,40.56
no_cart,03,Tuesday,103,28.81,6.33,6.13,49.43
no_cart,03,Wednesday,98,33.6,6.02,6.67,30.69
purchase,03,Friday,127,45.85,6.91,10.66,48.41
purchase,03,Monday,118,44.54,7.33,9.42,54.59
purchase,03,Saturday,76,58.25,7.87,13.45,53.10
purchase,03,Sunday,87,76.56,9.23,17.45,41.12
purchase,03,Thursday,137,46.75,8.06,8.15,39.45
purchase,03,Tuesday,126,48.15,7.63,7.41,40.42
purchase,03,Wednesday,104,46.02,7.66,10.38,39.77
implicit_abandon,03,Monday,634,20.18,3.11,9.05,39.99
implicit_abandon,03,Tuesday,679,21.82,3.27,8.81,16.14
implicit_abandon,03,Sunday,422,26.23,3.84,10.76,11.18
implicit_abandon,03,Friday,623,23.53,3.64,9.75,27.12
implicit_abandon,03,Wednesday,607,22.28,3.86,8.53,16.38
implicit_abandon,03,Saturday,462,24.38,4.11,9.83,21.75
implicit_abandon,03,Thursday,730,21.7,3.35,8.42,20.08
explicit_abandon,03,Friday,277,44.44,7.81,9.91,48.41
explicit_abandon,03,Thursday,275,40.75,8.02,7.38,60.05
explicit_abandon,03,Saturday,198,58.87,8.07,21.34,56.20
explicit_abandon,03,Wednesday,276,42.93,7.55,6.86,38.96
explicit_abandon,03,Monday,248,51.47,8.29,7.94,71.98
explicit_abandon,03,Sunday,206,53.46,11.47,8.6,39.39
explicit_abandon,03,Tuesday,302,50.57,7.66,11.25,63.73
no_cart,04,Friday,149,29.67,6.12,5.65,65.22
no_cart,04,Thursday,170,35.06,5.58,8.18,52.54
no_cart,04,Monday,178,22.4,4.60,6.79,82.81
no_cart,04,Saturday,104,34.56,6.82,5.81,38.76
no_cart,04,Sunday,126,41.38,8.36,6.81,43.65
no_cart,04,Tuesday,161,28.2,5.14,5.62,58.42
no_cart,04,Wednesday,147,26.24,5.21,6.83,31.24
purchase,04,Monday,202,48.39,7.49,11.49,53.52
purchase,04,Friday,203,48.56,8.21,9.65,51.78
purchase,04,Thursday,228,46.66,6.40,11.14,39.74
purchase,04,Tuesday,190,46.59,7.50,11.58,44.66
purchase,04,Saturday,123,47.71,6.00,10.53,33.92
